Leads,Efectivos,SDC,PDM,Citas Programadas,Citas Efectivas,Ventas,Conversion,Aporte,Periodo,Canal
352,347.0,18.0,31.0,68.0,49.0,7.0,0.0199,0.2,"Mayo, 26",Plazas
403,403.0,16.0,41.0,100.0,59.0,10.0,0.0248,0.2703,"Junio, 26",Plazas
145,145.0,3.0,12.0,26.0,15.0,1.0,0.0069,0.030299999999999997,"Julio,26",Plazas
57,,,,3.0,2.0,,0.0,0.0,"Febrero, 24",Digital
145,,,,6.0,5.0,1.0,0.0069,0.1429,"Marzo, 24",Digital
129,,,,23.0,5.0,,0.0,0.0,"Abril, 24",Digital
463,,,,43.0,23.0,,0.0,0.0,"Mayo, 24",Digital
350,,,,43.0,19.0,1.0,0.0029,0.16670000000000001,"Junio, 24",Digital
192,,,,36.0,14.0,2.0,0.0104,0.09519999999999999,"Julio, 24",Digital
1112,,,,57.0,18.0,,0.0,0.0,"Agosto, 24",Digital
1353,,,8.0,107.0,27.0,6.0,0.0044,0.3529,"Septiembre, 24",Digital
1142,,,7.0,83.0,33.0,1.0,0.0009,0.0435,"Octubre, 24",Digital
846,,,17.0,71.0,18.0,5.0,0.0059,0.2273,"Noviembre, 24",Digital
755,,,28.0,50.0,27.0,10.0,0.0132,0.3125,"Diciembre, 24",Digital
202,,21.0,22.0,74.0,37.0,9.0,0.0446,0.34619999999999995,"Enero, 25",Digital
207,,28.0,24.0,45.0,30.0,4.0,0.019299999999999998,0.2,"Febrero, 25",Digital
491,,13.0,16.0,25.0,19.0,12.0,0.024399999999999998,0.4,"Marzo, 25",Digital
749,,6.0,17.0,47.0,33.0,5.0,0.0067,0.16670000000000001,"Abril, 25",Digital
361,,15.0,26.0,37.0,32.0,9.0,0.024900000000000002,0.2647,"Mayo, 25",Digital
576,,19.0,21.0,69.0,34.0,12.0,0.0208,0.3,"Junio, 25",Digital
699,,29.0,33.0,89.0,45.0,9.0,0.0129,0.25,"Julio, 25",Digital
827,239.0,29.0,31.0,135.0,51.0,9.0,0.0109,0.3333,"Agosto, 25",Digital
676,344.0,36.0,31.0,125.0,73.0,15.0,0.0222,0.3947,"Septiembre, 25",Digital
688,329.0,50.0,32.0,110.0,60.0,10.0,0.014499999999999999,0.25,"Octubre, 25",Digital
554,342.0,42.0,22.0,97.0,55.0,14.0,0.0253,0.3333,"Noviembre, 25",Digital
908,594.0,39.0,23.0,90.0,51.0,8.0,0.0088,0.2353,"Diciembre, 25",Digital
922,674.0,23.0,22.0,110.0,56.0,6.0,0.006500000000000001,0.15789999999999998,"Enero, 26",Digital
635,457.0,21.0,22.0,85.0,43.0,13.0,0.020499999999999997,0.43329999999999996,"Febrero, 26",Digital
980,618.0,16.0,25.0,78.0,36.0,11.0,0.011200000000000002,0.2683,"Marzo, 26",Digital
834,179.0,32.0,35.0,83.0,59.0,8.0,0.0096,0.19510000000000002,"Abril, 26",Digital
667,170.0,30.0,35.0,140.0,103.0,9.0,0.013500000000000002,0.2571,"Mayo, 26",Digital
748,200.0,28.0,28.0,101.0,53.0,7.0,0.009399999999999999,0.1892,"Junio, 26",Digital
298,64.0,3.0,12.0,26.0,15.0,1.0,0.0034000000000000002,0.030299999999999997,"Julio,26",Digital
